harbor_name,geometry
Handbjerg Marina,0103000020E61000000100000006000000AE47E17A146E2140BE9F1A2FDD3C4C40AE47E17A146E2140EE0912DBDD3D4C4013B70A62A0732140EE0912DBDD3D4C4013B70A62A0732140BE9F1A2FDD3C4C40ED2DE57CB16F2140BE9F1A2FDD3C4C40AE47E17A146E2140BE9F1A2FDD3C4C40
Gyldendal,0103000020E61000000100000006000000240F4416696A21407520EBA9D5494C40240F4416696A2140D122DBF97E4A4C40CDCCCCCCCC6C2140D122DBF97E4A4C40CDCCCCCCCC6C21407520EBA9D5494C40F6D4EAABAB6A21407520EBA9D5494C40240F4416696A21407520EBA9D5494C40
Jegindø Havn,0103000020E610000001000000060000006CB3B112F3442140BB9A3C6535534C406CB3B112F34421405C1C959BA8534C4080B74082E24721405C1C959BA8534C4080B74082E2472140BB9A3C6535534C4068226C787A452140BB9A3C6535534C406CB3B112F3442140BB9A3C6535534C40
Tambohus Naturhavn,0103000020E610000001000000060000001B6327BC042F2140D95BCAF962514C401B6327BC042F214052B81E85EB514C401904560E2D32214052B81E85EB514C401904560E2D322140D95BCAF962514C40A67C08AA462F2140D95BCAF962514C401B6327BC042F2140D95BCAF962514C40
Oddesund Nord,0103000020E610000001000000060000007E737FF5B8172140D122DBF97E4A4C407E737FF5B81721409160AA99B54A4C400AD7A3703D1A21409160AA99B54A4C400AD7A3703D1A2140D122DBF97E4A4C40BAF3C473B6182140D122DBF97E4A4C407E737FF5B8172140D122DBF97E4A4C40
Humlum Fiskerleje,0103000020E610000001000000050000004A404CC2852421403BDF4F8D97464C400E2DB29DEF2721403BDF4F8D97464C400E2DB29DEF272140273108AC1C464C40C59107228B242140273108AC1C464C404A404CC2852421403BDF4F8D97464C40
Venø Havn,0103000020E6100000010000000600000046B6F3FDD438214083C0CAA145464C4046B6F3FDD43821402DB29DEFA7464C40E82FF488D13B21402DB29DEFA7464C40E82FF488D13B214083C0CAA145464C40DBC2F352B139214083C0CAA145464C4046B6F3FDD438214083C0CAA145464C40
Lemvig Havn,0103000020E61000000100000006000000D4449F8F329A20407DB262B83A464C40D4449F8F329A2040A4FD0FB056474C4093E4B9BE0F9F2040A4FD0FB056474C4093E4B9BE0F9F20407DB262B83A464C40D3DC0A61359E20407DB262B83A464C40D4449F8F329A20407DB262B83A464C40
Lemvig Marina,0103000020E61000000100000006000000D7A3703D0A972040F2D24D6210484C40D7A3703D0A972040691EC022BF484C409B90D618749A2040691EC022BF484C409B90D618749A2040F2D24D6210484C4012A1116C5C972040F2D24D6210484C40D7A3703D0A972040F2D24D6210484C40
Ringkøbing Havn,0103000020E61000000100000006000000F71F990E9D7620408333F8FBC50A4C40F71F990E9D762040E4326E6AA00B4C403F0114234B7E2040E4326E6AA00B4C403F0114234B7E20408333F8FBC50A4C4090882991447720408333F8FBC50A4C40F71F990E9D7620408333F8FBC50A4C40
Thorsminde,0103000020E6100000010000000600000098A25C1ABF382040BC783F6EBF2E4C4098A25C1ABF382040FAF19716F52F4C4054742497FF402040FAF19716F52F4C4054742497FF402040BC783F6EBF2E4C40ED9FA701833C2040BC783F6EBF2E4C4098A25C1ABF382040BC783F6EBF2E4C40
Flakfort,0103000020E61000000100000005000000DBF97E6ABC7429401F12BEF737DA4B4066321CCF677829401F12BEF737DA4B4066321CCF6778294068041BD7BFD94B400E9F7422C174294068041BD7BFD94B40DBF97E6ABC7429401F12BEF737DA4B40
Ristinge Havn,0103000020E61000000100000006000000656F29E78B452540E65DF580796A4B40656F29E78B4525409E7C7A6CCB6A4B40A1116C5CFF4625409E7C7A6CCB6A4B40A1116C5CFF462540E65DF580796A4B40A298BC0166462540E65DF580796A4B40656F29E78B452540E65DF580796A4B40
Bagenkop Havn,0103000020E610000001000000060000009CF86A4771562540EBC4E57805604B409CF86A4771562540795C548B88604B4060E5D022DB592540795C548B88604B4060E5D022DB592540EBC4E57805604B404A46CEC29E562540EBC4E57805604B409CF86A4771562540EBC4E57805604B40
